County,Candidate,Candidate_Party,Election_day_votes,Early_voting,Absentee_by_mail,Provisional_votes,Total_votes,Election_Year
CABARRUS,Gary Johnson,LIB,41,0,0,0,41,2016
CABARRUS,Gary Johnson,LIB,51,0,0,0,51,2016
CABARRUS,Gary Johnson,LIB,20,0,0,0,20,2016
CABARRUS,Gary Johnson,LIB,0,346,0,0,346,2016
CABARRUS,Gary Johnson,LIB,0,354,0,0,354,2016
CABARRUS,Gary Johnson,LIB,28,0,0,0,28,2016
CABARRUS,Gary Johnson,LIB,19,0,0,0,19,2016
CABARRUS,Gary Johnson,LIB,36,0,0,0,36,2016
CABARRUS,Gary Johnson,LIB,0,203,0,0,203,2016
CABARRUS,Gary Johnson,LIB,71,0,0,0,71,2016
CABARRUS,Gary Johnson,LIB,0,0,0,41,41,2016
CABARRUS,Gary Johnson,LIB,24,0,0,0,24,2016
CABARRUS,Gary Johnson,LIB,36,0,0,0,36,2016
CABARRUS,Gary Johnson,LIB,11,0,0,0,11,2016
CABARRUS,Gary Johnson,LIB,29,0,0,0,29,2016
CABARRUS,Gary Johnson,LIB,14,0,0,0,14,2016
CABARRUS,Hillary Clinton,DEM,120,0,0,0,120,2016
CABARRUS,Hillary Clinton,DEM,232,0,0,0,232,2016
CABARRUS,Hillary Clinton,DEM,71,0,0,0,71,2016
CABARRUS,Hillary Clinton,DEM,673,0,0,0,673,2016
CABARRUS,Hillary Clinton,DEM,197,0,0,0,197,2016
CABARRUS,Hillary Clinton,DEM,285,0,0,0,285,2016
CABARRUS,Hillary Clinton,DEM,374,0,0,0,374,2016
CABARRUS,Hillary Clinton,DEM,135,0,0,0,135,2016
CABARRUS,Hillary Clinton,DEM,245,0,0,0,245,2016
CABARRUS,Hillary Clinton,DEM,323,0,0,0,323,2016
CABARRUS,Hillary Clinton,DEM,661,0,0,0,661,2016
CABARRUS,Hillary Clinton,DEM,243,0,0,0,243,2016
CABARRUS,Hillary Clinton,DEM,191,0,0,0,191,2016
CABARRUS,Hillary Clinton,DEM,427,0,0,0,427,2016
CABARRUS,Hillary Clinton,DEM,0,2838,0,0,2838,2016
CABARRUS,Hillary Clinton,DEM,112,0,0,0,112,2016
CABARRUS,Hillary Clinton,DEM,114,0,0,0,114,2016
CABARRUS,Hillary Clinton,DEM,442,0,0,0,442,2016
CABARRUS,Hillary Clinton,DEM,0,4365,0,0,4365,2016
CABARRUS,Hillary Clinton,DEM,0,0,1564,0,1564,2016
CABARRUS,Hillary Clinton,DEM,285,0,0,0,285,2016
CABARRUS,Hillary Clinton,DEM,225,0,0,0,225,2016
CABARRUS,Hillary Clinton,DEM,167,0,0,0,167,2016
CABARRUS,Hillary Clinton,DEM,501,0,0,0,501,2016
CABARRUS,Hillary Clinton,DEM,196,0,0,0,196,2016
CABARRUS,Hillary Clinton,DEM,251,0,0,0,251,2016
CABARRUS,Hillary Clinton,DEM,0,0,0,384,384,2016
CABARRUS,Hillary Clinton,DEM,229,0,0,0,229,2016
CABARRUS,Hillary Clinton,DEM,257,0,0,0,257,2016
CABARRUS,Hillary Clinton,DEM,127,0,0,0,127,2016
CABARRUS,Hillary Clinton,DEM,470,0,0,0,470,2016
CABARRUS,Hillary Clinton,DEM,377,0,0,0,377,2016
CABARRUS,Hillary Clinton,DEM,336,0,0,0,336,2016
CABARRUS,Hillary Clinton,DEM,619,0,0,0,619,2016
